,Equal-Weighted BAB,Value-Weighted BAB
Mean (annual),-0.026646934407220196,-0.15477974415065437
Volatility (annual),0.2692253974862623,0.31518530964085134
Sharpe Ratio,-0.09897630259262559,-0.49107537507704097
