,Equal-Weighted WML,Value-Weighted WML
Mean (annual),-0.08297657961970392,-0.031363340958837055
Volatility (annual),0.3266775452320003,0.3523599927672905
Sharpe Ratio,-0.25400147892251207,-0.08900936996996245
