,Equal-Weighted SMB,Value-Weighted SMB
Alpha (CAPM),-0.3159847811902289,-0.24089980091247198
t-stat (CAPM),-10.538327328303005,-8.49317569676582
R-squared (CAPM),0.12602895207154374,0.15467756942198707
Alpha (FF3),-0.35313190611422307,-0.27804965035577717
t-stat (FF3),-16.723104239809174,-15.285344583497203
R-squared (FF3),0.5691629462450976,0.6544198338442706
