,Equal-Weighted SMB,Value-Weighted SMB
Mean (annual),-0.2370567312902797,-0.1578780779638424
Volatility (annual),0.3079684211674397,0.29607017382970724
Sharpe Ratio,-0.7697436327778362,-0.5332454665110922
